SEX,PAY
Women,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Women,12000
Men,12100
Women,12200
Women,12210
Women,12260
Women,12300
Women,12400
Women,12500
Men,12500
Men,12500
Women,12500
Women,12500
Women,12500
Men,12500
Men,12500
Women,12500
Men,12500
Women,12500
Women,12500
Women,12500
Men,12500
Men,12500
Men,12500
Men,12500
Women,12850
Men,12870
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Men,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13200
Women,13291
Men,13333
Women,13333
Women,13400
Women,13450
Men,13500
Men,13500
Men,13500
Women,13500
Men,13500
Women,13500
Women,13500
Women,13600
Men,13600
Women,13650
Men,13691
Women,13700
Women,13728
Women,13781
Men,13800
Women,13810
Women,13891
Women,13995
Women,14000
Women,14000
Men,14000
Women,14000
Men,14000
Men,14000
Women,14000
Women,14000
Women,14000
Women,14000
Men,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Men,14000
Women,14000
Men,14000
Men,14000
Men,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Women,14000
Men,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Men,14000
Men,14000
Women,14000
Men,14000
Women,14010
Women,14090
Women,14292
Women,14300
Women,14320
Women,14400
Women,14400
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Men,14500
Women,14500
Women,14500
Men,14500
Women,14508
Men,14583
Men,14700
Women,14719
Women,14900
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Men,15000
Men,15000
Men,15000
Women,15000
Men,15000
Men,15000
Women,15000
Men,15000
Men,15000
Men,15000
Women,15000
Men,15000
Men,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Men,15000
Men,15000
Women,15000
Women,15000
Men,15000
Men,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15200
Women,15200
Men,15200
Women,15250
Women,15250
Women,15292
Women,15300
Women,15300
Women,15321
Women,15400
Women,15500
Men,15500
Women,15500
Men,15500
Women,15500
Women,15500
Women,15500
Women,15500
Women,15500
Women,15500
Women,15500
Men,15500
Men,15500
Men,15600
Men,15600
Women,15600
Women,15724
Men,15750
Men,15761
Men,15800
Men,15800
Women,15800
Men,15900
Women,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Men,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16088
Women,16270
Women,16300
Women,16314
Women,16500
Men,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16500
Women,16500
Men,16500
Men,16500
Men,16500
Women,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16500
Men,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16600
Men,16650
Men,16665
Men,16700
Women,16700
Women,16700
Men,16800
Women,16800
Men,16800
Men,16800
Men,16800
Women,16800
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Women,17000
Men,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17001
Men,17035
Men,17100
Women,17100
Women,17100
Women,17300
Women,17300
Men,17400
Women,17500
Men,17500
Men,17500
Men,17500
Men,17500
Men,17500
Women,17500
Women,17500
Women,17500
Men,17500
Women,17500
Women,17500
Men,17500
Women,17500
Men,17500
Men,17500
Men,17500
Women,17500
Women,17500
Women,17500
Men,17500
Women,17500
Women,17500
Women,17500
Women,17500
Women,17500
Women,17500
Women,17500
Men,17500
Women,17555
Men,17600
Men,17600
Women,17700
Women,17700
Women,17700
Men,17800
Women,17800
Women,17800
Women,17900
Women,17900
Women,17937
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Men,18000
Men,18000
Men,18000
Men,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Men,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18009
Men,18100
Men,18200
Women,18200
Women,18200
Women,18250
Women,18250
Men,18300
Men,18300
Men,18300
Men,18400
Women,18400
Men,18400
Men,18500
Women,18500
Women,18500
Women,18500
Women,18500
Women,18500
Men,18500
Women,18500
Men,18500
Women,18500
Women,18500
Women,18500
Women,18500
Women,18500
Women,18500
Men,18500
Women,18500
Women,18500
Men,18500
Women,18500
Women,18500
Men,18500
Women,18500
Women,18500
Men,18500
Women,18593
Men,18600
Men,18600
Men,18606
Women,18700
Men,18700
Women,18720
Men,18800
Women,18952
Women,19000
Women,19000
Men,19000
Men,19000
Men,19000
Men,19000
Women,19000
Women,19000
Men,19000
Men,19000
Men,19000
Women,19000
Men,19000
Women,19000
Men,19000
Men,19000
Women,19000
Women,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Women,19000
Men,19000
Men,19000
Women,19000
Men,19000
Men,19000
Men,19000
Men,19000
Women,19000
Women,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Men,19000
Women,19000
Men,19000
Men,19000
Men,19000
Women,19000
Men,19000
Women,19000
Men,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Men,19000
Men,19000
Men,19003
Women,19200
Women,19200
Women,19200
Men,19200
Men,19200
Women,19253
Women,19300
Women,19300
Women,19300
Men,19500
Women,19500
Men,19500
Women,19500
Men,19500
Women,19500
Women,19500
Men,19500
Women,19500
Women,19500
Men,19500
Women,19500
Women,19500
Women,19500
Women,19500
Women,19500
Women,19500
Men,19500
Women,19500
Women,19626
Women,19655
Men,19655
Women,19655
Women,19699
Women,19700
Women,19750
Women,19750
Women,19750
Women,19752
Women,19825
Men,19848
Men,19850
Men,19965
Men,19999
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20300
Women,20300
Women,20332
Women,20400
Women,20400
Women,20456
Women,20500
Women,20500
Women,20500
Men,20500
Men,20500
Women,20600
Men,20600
Men,20700
Men,20700
Men,20750
Men,20800
Men,20833
Men,20833
Men,20833
Men,20883
Women,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Women,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Women,21000
Women,21000
Women,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
Women,21000
Women,21000
Men,21000
Men,21000
Men,21000
Women,21000
Women,21000
Women,21000
Men,21000
Women,21000
Women,21000
Women,21000
Men,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Women,21000
Women,21000
Women,21000
Men,21000
Men,21000
Men,21000
Men,21000
Women,21000
Men,21000
Women,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Men,21000
Men,21000
Men,21000
Men,21000
Women,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Men,21000
Men,21000
Women,21000
Men,21000
Men,21200
Women,21300
Women,21325
Men,21350
Women,21400
Women,21500
Women,21500
Men,21500
Men,21500
Women,21500
Men,21500
Men,21500
Women,21500
Men,21500
Men,21500
Women,21500
Women,21500
Men,21500
Women,21500
Women,21500
Men,21500
Men,21500
Women,21500
Men,21500
Men,21600
Men,21663
Women,21740
Women,21765
Men,21900
Men,21900
Women,21909
Women,21990
Women,21995
Women,22000
Men,22000
Men,22000
Women,22000
Women,22000
Men,22000
Women,22000
Women,22000
Women,22000
Women,22000
Men,22000
Women,22000
Men,22000
Women,22000
Men,22000
Men,22000
Women,22000
Men,22000
Men,22000
Women,22000
Men,22000
Men,22000
Men,22000
Women,22000
Women,22000
Women,22000
Women,22000
Men,22000
Men,22000
Men,22000
Men,22000
Women,22000
Women,22000
Women,22000
Men,22000
Men,22000
Women,22000
Women,22000
Men,22000
Women,22000
Men,22000
Women,22000
Men,22000
Men,22000
Women,22000
Women,22000
Women,22000
Women,22000
Women,22000
Men,22000
Men,22000
Women,22000
Women,22000
Men,22000
Women,22000
Women,22000
Women,22000
Women,22000
Men,22000
Men,22000
Men,22000
Women,22000
Men,22000
Men,22000
Women,22000
Men,22000
Women,22000
Women,22000
Women,22000
Men,22000
Men,22000
Men,22000
Men,22000
Women,22000
Women,22000
Men,22000
Women,22000
Women,22000
Women,22000
Women,22000
Men,22000
Men,22000
Men,22000
Women,22000
Men,22000
Women,22000
Men,22000
Men,22000
Men,22000
Women,22000
Men,22000
Men,22000
Women,22000
Women,22000
Men,22000
Men,22000
Men,22000
Men,22000
Women,22000
Men,22000
Men,22000
Women,22000
Men,22000
Women,22000
Women,22000
Men,22000
Men,22000
Women,22000
Women,22000
Women,22000
Women,22000
Men,22000
Women,22000
Men,22000
Women,22000
Women,22000
Women,22000
Men,22100
Women,22100
Men,22175
Women,22200
Women,22236
Women,22250
Women,22300
Women,22400
Women,22458
Women,22458
Men,22500
Men,22500
Men,22500
Men,22500
Women,22500
Women,22500
Women,22500
Men,22500
Women,22500
Women,22500
Men,22500
Women,22500
Men,22500
Men,22500
Women,22500
Men,22500
Women,22516
Women,22600
Women,22600
Men,22600
Women,22680
Women,22683
Men,22800
Men,22800
Women,22815
Men,22895
Women,22900
Men,22995
Men,23000
Women,23000
Men,23000
Women,23000
Women,23000
Men,23000
Women,23000
Women,23000
Men,23000
Women,23000
Men,23000
Women,23000
Men,23000
Women,23000
Men,23000
Men,23000
Women,23000
Women,23000
Men,23000
Women,23000
Women,23000
Men,23000
Women,23000
Men,23000
Women,23000
Men,23000
Women,23000
Women,23000
Women,23000
Men,23000
Women,23000
Men,23000
Women,23000
Women,23000
Women,23000
Men,23000
Men,23000
Men,23000
Men,23000
Men,23000
Men,23000
Women,23000
Men,23000
Women,23000
Women,23000
Women,23000
Men,23000
Women,23000
Men,23000
Women,23000
Men,23000
Men,23000
Women,23000
Women,23000
Men,23000
Men,23000
Women,23000
Women,23000
Women,23000
Men,23000
Women,23000
Women,23000
Women,23000
Women,23000
Women,23000
Women,23000
Women,23000
Women,23000
Women,23000
Men,23000
Women,23000
Women,23000
Men,23000
Women,23000
Men,23000
Women,23100
Men,23112
Women,23165
Men,23166
Women,23200
Women,23300
Women,23477
Women,23500
Women,23500
Women,23500
Women,23500
Women,23500
Women,23500
Women,23500
Men,23500
Men,23500
Women,23500
Men,23500
Men,23500
Men,23500
Women,23500
Women,23700
Women,23708
Men,23800
Men,23800
Women,23871
Women,23953
Men,24000
Men,24000
Men,24000
Men,24000
Women,24000
Men,24000
Women,24000
Women,24000
Women,24000
Women,24000
Women,24000
Men,24000
Men,24000
Men,24000
Women,24000
Men,24000
Women,24000
Women,24000
Men,24000
Women,24000
Women,24000
Women,24000
Men,24000
Women,24000
Women,24000
Women,24000
Men,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Women,24000
Men,24000
Women,24000
Men,24000
Women,24000
Women,24000
Men,24000
Women,24000
Men,24000
Men,24000
Men,24000
Men,24000
Women,24000
Women,24000
Women,24000
Men,24000
Men,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Men,24000
Women,24000
Women,24000
Men,24000
Men,24000
Men,24000
Men,24000
Women,24000
Women,24000
Women,24000
Women,24000
Men,24000
Men,24000
Women,24000
Women,24000
Women,24000
Women,24000
Women,24000
Men,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Women,24000
Men,24000
Women,24000
Women,24000
Men,24000
Women,24000
Men,24000
Women,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Women,24000
Women,24000
Men,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Women,24000
Men,24000
Men,24000
Men,24000
Women,24000
Women,24000
Men,24000
Men,24000
Women,24234
Women,24360
Women,24397
Women,24401
Men,24500
Men,24500
Women,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Men,24500
Women,24500
Women,24500
Women,24717
Women,24750
Men,24800
Women,24823
Women,24823
Men,24884
Men,24900
Women,24950
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Women,25000
Men,25000
Women,25000
Men,25000
Men,25000
Women,25000
Women,25000
Women,25000
Men,25000
Men,25000
Women,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Men,25000
Women,25000
Women,25000
Women,25000
Men,25000
Men,25000
Women,25000
Men,25000
Women,25000
Men,25000
Women,25000
Men,25000
Women,25000
Women,25000
Women,25000
Women,25000
Women,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Women,25000
Women,25000
Women,25000
Women,25000
Men,25000
Women,25000
Women,25000
Men,25000
Men,25000
Women,25000
Women,25000
Women,25000
Women,25000
Women,25000
Men,25000
Women,25000
Women,25000
Women,25000
Women,25000
Men,25000
Women,25000
Men,25000
Men,25000
Women,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Women,25000
Women,25000
Women,25000
Men,25000
Women,25000
Women,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Women,25000
Women,25000
Women,25000
Men,25000
Men,25000
Men,25000
Women,25000
Women,25000
Women,25000
Men,25000
Men,25000
Women,25000
Women,25000
Men,25000
Women,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Women,25000
